dataset,original_variable_name,cleaned_variable_name,data_type,observed_values_range,confirmed_meaning,confirmed_unit,unit_known_or_unknown,missing_value_treatment,is_safe_for_analysis,analytical_restrictions,source_evidence,unresolved_questions
Container Transport,TRANSPORT_MODE,transport_mode,character,"2 categories: 'MAR' (344 rows), 'RAIL' (280 rows)","Transport mode code ('MAR' = Maritime, 'RAIL' = Rail)",Unitless (Code),Unitless,0 missing (0.00%),YES,Must segregate or control for transport mode. Do not sum across modes without verifying non-overlap.,data/processed/container_transport_clean.csv,None.
Container Transport,Transport mode,transport_mode_2,character,"2 categories: 'Maritime' (344 rows), 'Rail' (280 rows)",Full name of transport mode,Unitless (Label),Unitless,0 missing (0.00%),YES,Display label corresponding 1:1 with transport_mode.,data/processed/container_transport_clean.csv,None.
Container Transport,TIME_PERIOD,time_period,integer,Range: 2019 to 2022 (4 annual periods),Calendar year of container transport observation,Year,Known,0 missing (0.00%),YES,Annual time series index. Valid for panel structure across 2019-2022.,data/processed/container_transport_clean.csv,None.
Container Transport,OBS_VALUE,obs_value,numeric,"Range: 0 to 1,029,910,000 (Median: 2,542,000; 118 NA)",Observed quantitative volume of container transport,Tonnes or TEU (governed by unit_measure),Known,118 missing values (OBS_STATUS = 'M') preserved as NA; NEVER converted to zero,Conditional,Safe ONLY within segregated unit_measure and transport_mode subsets. Must handle 118 NAs explicitly.,data/processed/container_transport_clean.csv; outputs/results/container_cleaning_summary.csv,Whether reported values incorporate unapplied multipliers.
Container Transport,OBS_STATUS,obs_status,character,"5 codes: 'A' (Normal, 492), 'B' (Break, 1), 'E' (Estimated, 4), 'M' (Missing, 118), 'P' (Provisional, 9)",Observation quality and status code,Unitless (Code),Unitless,0 missing (0.00%),YES,Use to filter or stratify observations by statistical reliability.,outputs/results/container_status_summary.csv,Specific methodology for 'Estimated' (E) values is not detailed.
Container Transport,Observation status,observation_status,character,"5 labels: 'Normal value', 'Time series break', 'Estimated value', 'Missing value; data cannot exist', 'Provisional value'",Full descriptive label of observation status,Unitless (Label),Unitless,0 missing (0.00%),YES,Display label corresponding 1:1 with obs_status.,data/processed/container_transport_clean.csv,None.
Container Transport,UNIT_MULT,unit_mult,integer,Constant value: 0 (624 rows = 100%),Unit multiplier exponent code,Unitless (Code),Unitless,0 missing (0.00%),YES,Retained for provenance. Multiplier was NOT arithmetically applied to obs_value.,outputs/results/container_cleaning_summary.csv,Arithmetic convention of multiplier is not documented in file.
Container Transport,Unit multiplier,unit_multiplier,character,Constant value: 'Units' (624 rows = 100%),Descriptive label for unit multiplier,Unitless (Label),Unitless,0 missing (0.00%),YES,Display label corresponding 1:1 with unit_mult.,data/processed/container_transport_clean.csv,None.
Container Transport,(derived),observation_is_missing,logical,"FALSE: 506 rows (81.09%), TRUE: 118 rows (18.91%)",Boolean flag indicating whether obs_value is missing (NA),Unitless (Flag),Unitless,0 missing; derived directly from is.na(obs_value),YES,Use for filtering out missing observations before numeric operations.,R/05_clean_container_transport.R,None.
Container Transport,(derived),observation_is_provisional,logical,"FALSE: 615 rows (98.56%), TRUE: 9 rows (1.44%)",Boolean flag indicating provisional observation status (obs_status == 'P'),Unitless (Flag),Unitless,0 missing; derived from obs_status == 'P',YES,Use for sensitivity testing or filtering provisional data.,R/05_clean_container_transport.R,None.
Container Transport,(derived),observation_is_estimated,logical,"FALSE: 620 rows (99.36%), TRUE: 4 rows (0.64%)",Boolean flag indicating estimated observation status (obs_status == 'E'),Unitless (Flag),Unitless,0 missing; derived from obs_status == 'E',YES,Use for sensitivity testing or filtering estimated data.,R/05_clean_container_transport.R,None.
Container Transport,(derived),observation_has_time_series_break,logical,"FALSE: 623 rows (99.84%), TRUE: 1 row (0.16%)",Boolean flag indicating a structural break in time series (obs_status == 'B'),Unitless (Flag),Unitless,0 missing; derived from obs_status == 'B',YES,Note break when conducting longitudinal time-series modeling for affected series.,R/05_clean_container_transport.R,None.
Container Transport,STRUCTURE...DECIMALS (16 columns),removed,character / numeric,Constant metadata (14 cols) or completely empty (2 cols),"Constant SDMX file headers, structure definitions, and empty labels",Unitless,Unitless,Removed from processed analysis copy,NO,Do not reintroduce into analytical copy; verified constant/empty across all 624 rows.,outputs/results/container_cleaning_summary.csv,None.
Refinery Shipments,Work shift,work_shift,character,"3 categories: 'Day shift' (129), 'Evening shift' (39), 'Night shift' (96)",Operational work shift during which shipment departed/arrived,Unitless,Unitless,0 missing (0.00%),YES,Operational grouping variable.,data/processed/refinery_clean.csv; R/06_clean_refinery.R,Exact start and end hours of shifts are not documented.
Refinery Shipments,Type,type,character,"4 categories: 'VB' (205), 'C5+' (36), 'Condensate' (18), 'Iso-Recycle' (5)",Product / chemical stream type of shipment,Unitless,Unitless,0 missing (0.00%),YES,Categorical stream filter. Do not pool streams without checking compatibility.,data/processed/refinery_clean.csv,Full chemical definitions and specifications of 'VB' and 'Iso-Recycle' are not provided.
Refinery Shipments,Refinery,refinery,character,"4 facilities: 'Shiraz' (123), 'Tehran' (87), 'Pars Petrochemical' (36), 'South Pars' (18)",Name of the processing refinery or petrochemical complex,Unitless,Unitless,0 missing (0.00%),YES,Facility identifier. Safe for grouping and comparing facility activity.,data/processed/refinery_clean.csv,Exact physical plant boundaries and ownership are not documented in dataset.
Refinery Shipments,Origin Departure Date,origin_departure_date,character,Range: '1398/12/27' to '1399/03/20' (Persian Solar Hijri calendar format),Recorded shipment departure date from origin facility,Persian Calendar Date,"Known format, unmapped Gregorian",0 missing (0.00%),Conditional,Safe for ordinal comparison within Persian calendar. Do NOT perform Gregorian date arithmetic without verified conversion.,outputs/results/refinery_date_audit.csv; R/06_clean_refinery.R,Official calendar conversion formula to Gregorian dates is unconfirmed.
Refinery Shipments,Origin Net Weight,origin_net_weight,numeric,"Range: 15,050 to 28,770 (Median: 24,670, Mean: 23,803.94)",Recorded net weight of shipment at origin facility,Unknown,Unknown,0 missing (0.00%),Conditional,Safe for relative comparisons and within-row difference math. Unsafe for physical mass claims (unit unknown).,outputs/results/refinery_weight_audit.csv; R/06_clean_refinery.R,"Physical measurement unit (kg, tonnes, lbs?) is completely undocumented."
Refinery Shipments,Destination Arrival Date,destination_arrival_date,character,Range: '1398/12/27' to '1399/03/20' (Persian Solar Hijri calendar format),Recorded shipment arrival date at destination facility,Persian Calendar Date,"Known format, unmapped Gregorian",0 missing (0.00%),Conditional,Safe for ordinal comparison. All arrival dates are >= departure dates.,data/processed/refinery_clean.csv,Official calendar conversion formula to Gregorian dates is unconfirmed.
Refinery Shipments,Destination Net Weight,destination_net_weight,numeric,"Range: 15,110 to 28,720 (Median: 24,660, Mean: 23,801.78)",Recorded net weight of shipment at destination facility,Unknown,Unknown,0 missing (0.00%),Conditional,Safe for relative comparisons and within-row difference math. Unsafe for physical mass claims (unit unknown).,outputs/results/refinery_weight_audit.csv; R/06_clean_refinery.R,Physical measurement unit is completely undocumented.
Refinery Shipments,(derived),raw_row_number,integer,Range: 2 to 265,1-indexed row number in the raw CSV file (accounting for header),Unitless (Index),Unitless,0 missing,YES,Audit and provenance traceability index.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),missing_weight_flag,logical,Constant value: FALSE (264 rows = 100%),Boolean flag indicating missing origin or destination weight,Unitless (Flag),Unitless,0 missing,YES,Confirms complete weight reporting across all rows.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),weight_difference,numeric,"Range: -510 to +440 (Median: 0, Mean: -2.16)",Raw numerical subtraction: destination_net_weight - origin_net_weight,Unknown (same as net weight),Unknown,0 missing,Conditional,Safe as raw numerical difference. Do NOT interpret as physical transit loss/gain without verified unit.,outputs/results/refinery_weight_audit.csv; R/06_clean_refinery.R,Mechanism for positive/negative weight discrepancies is undocumented.
Refinery Shipments,(derived),weight_difference_sign,character,"4 categories: 'zero_raw_difference' (101), 'negative_raw_difference' (84), 'positive_raw_difference' (79)",Directional category of raw weight difference,Unitless (Category),Unitless,0 missing,YES,Categorical indicator of weight discrepancy direction.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),duplicate_group_size,integer,"1 (262 rows), 2 (2 rows in 1 duplicate group)",Number of records sharing identical values across all raw fields,Unitless (Count),Unitless,0 missing,YES,Use to identify and account for the 1 exact duplicate pair.,outputs/results/refinery_duplicate_audit.csv,Whether duplicate shipment record was intentional double-haul or recording artifact.
Refinery Shipments,(derived),duplicate_flag,logical,"FALSE: 262 rows (99.24%), TRUE: 2 rows (0.76%)",Boolean flag indicating membership in an exact duplicate group,Unitless (Flag),Unitless,0 missing,YES,Filter flag for sensitivity analysis with/without duplicate records.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),origin_calendar_year,integer,"1398 (4 rows), 1399 (260 rows)",Extracted calendar year component from origin departure date string,Persian Calendar Year,Known format,0 missing,Conditional,Year in Solar Hijri calendar; not Gregorian year.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),origin_calendar_month,integer,"Range: 1 to 12 (Month 1: 82, Month 2: 95, Month 3: 83, Month 12: 4)",Extracted calendar month component from origin departure date string,Persian Calendar Month,Known format,0 missing,Conditional,Month in Solar Hijri calendar; not Gregorian month.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),origin_calendar_day,integer,Range: 1 to 31,Extracted calendar day component from origin departure date string,Persian Calendar Day,Known format,0 missing,Conditional,Day in Solar Hijri calendar; not Gregorian day.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),destination_calendar_year,integer,"1398 (4 rows), 1399 (260 rows)",Extracted calendar year component from destination arrival date string,Persian Calendar Year,Known format,0 missing,Conditional,Year in Solar Hijri calendar; not Gregorian year.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),destination_calendar_month,integer,"Range: 1 to 12 (Month 1: 82, Month 2: 95, Month 3: 83, Month 12: 4)",Extracted calendar month component from destination arrival date string,Persian Calendar Month,Known format,0 missing,Conditional,Month in Solar Hijri calendar; not Gregorian month.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),destination_calendar_day,integer,Range: 1 to 31,Extracted calendar day component from destination arrival date string,Persian Calendar Day,Known format,0 missing,Conditional,Day in Solar Hijri calendar; not Gregorian day.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),date_format_flag,character,Constant value: 'valid_yyyy_mm_dd_components' (264 rows = 100%),Validation flag verifying standard YYYY/MM/DD string structure and component ranges,Unitless (Flag),Unitless,0 missing,YES,Confirms syntactic validity of date strings.,R/06_clean_refinery.R,None.
Refinery Shipments,(derived),date_label_order_flag,character,Constant value: 'destination_label_after_or_equal_origin' (264 rows = 100%),Validation flag verifying arrival date string is >= departure date string,Unitless (Flag),Unitless,0 missing,YES,Confirms logical sequence of shipment dates.,R/06_clean_refinery.R,None.
Global Energy Ownership,Parent GEM Entity ID,parent_gem_entity_id,character,"748 unique IDs (e.g. E100001015587, E100001010595)",Global Energy Monitor identifier for the ultimate parent entity,Unitless (ID),Unitless,0 missing (0.00%); 100% matched to All Entities sheet,YES,"Primary corporate ownership identifier. 11,760 / 11,760 matched to All Entities.",data/processed/energy_ownership_clean.csv; R/07_clean_energy_ownership.R,None.
Global Energy Ownership,Parent,parent,character,"748 unique names (e.g. Government of Russia, Enbridge, Enterprise Products Partners)",Full legal/trading name of the ultimate parent entity,Unitless (Name),Unitless,0 missing (0.00%),YES,Human-readable parent company label.,data/processed/energy_ownership_clean.csv,None.
Global Energy Ownership,Parent Registration Country,parent_registration_country,character,"84 unique countries; 2,301 missing (19.57%)",Jurisdiction of legal incorporation / registration of the parent entity,Unitless (Country),Unitless,"2,301 missing values preserved as NA",Conditional,CRITICAL: Represents owner corporate jurisdiction ONLY. Strictly NOT physical pipeline asset location.,outputs/results/energy_ownership_cleaning_summary.csv; R/07_clean_energy_ownership.R,Physical route coordinates are not in this sheet.
Global Energy Ownership,Parent Headquarters Country,parent_headquarters_country,character,"82 unique countries; 2,020 missing (17.18%)",Country where parent company global headquarters is located,Unitless (Country),Unitless,"2,020 missing values preserved as NA",Conditional,CRITICAL: Represents owner headquarters ONLY. Strictly NOT physical pipeline asset location.,outputs/results/energy_ownership_cleaning_summary.csv; R/07_clean_energy_ownership.R,None.
Global Energy Ownership,Project,project,character,"1,685 distinct project names (e.g. Druzhba Oil Pipeline, Keystone Pipeline)",Physical name of the oil/NGL pipeline project,Unitless (Name),Unitless,0 missing (0.00%),YES,Physical asset name.,data/processed/energy_ownership_clean.csv,None.
Global Energy Ownership,Share,share,character,Text representations of numeric percentage share or blanks,Raw percentage ownership share claimed by the parent entity,Percentage (%),Known,"3,643 missing values (30.98%)",Conditional,Superseded by share_numeric in processed dataset.,outputs/results/energy_ownership_cleaning_summary.csv,None.
Global Energy Ownership,Ownership Path,ownership_path,character,Text string detailing chain of ownership from parent through intermediaries to immediate owner,Corporate equity holding chain,Unitless (Text),Unitless,0 missing (0.00%),YES,Documents intermediate holding companies and ownership structures.,data/processed/energy_ownership_clean.csv,None.
Global Energy Ownership,Immediate Project Owner,immediate_project_owner,character,"472 unique names (e.g. Transneft, Enbridge Pipelines Inc.)",Name of the direct operating entity that immediately owns the project,Unitless (Name),Unitless,0 missing (0.00%),YES,Direct operating owner entity label.,data/processed/energy_ownership_clean.csv,None.
Global Energy Ownership,Immediate Project Owner GEM Entity ID,immediate_project_owner_gem_entity_id,character,"472 unique IDs (e.g. E100000003733, E100001015277)",GEM entity identifier for the immediate project operating owner,Unitless (ID),Unitless,0 missing (0.00%); 100% matched to All Entities sheet,YES,"Direct owner entity key. 11,760 / 11,760 matched to All Entities.",data/processed/energy_ownership_clean.csv; R/07_clean_energy_ownership.R,None.
Global Energy Ownership,Tracker,tracker,character,"Constant value: 'Global Oil Infrastructure Tracker' (11,760 rows = 100%)",Name of the originating GEM database tracker,Unitless (Metadata),Unitless,0 missing (0.00%),YES,Provenance metadata.,data/processed/energy_ownership_clean.csv,None.
Global Energy Ownership,Status,status,character,"8 categories: 'operating' (9,273), 'cancelled' (861), 'proposed' (678), 'construction' (388), 'idle' (332), 'retired' (129), 'mothballed' (61), 'shelved' (37); 1 missing",Operational status of the pipeline project,Unitless (Status),Unitless,1 missing value preserved as NA,YES,Safe for filtering by asset lifecycle status.,data/processed/energy_ownership_clean.csv,Status of 1 missing row is unknown.
Global Energy Ownership,CapacityBOEd,capacity_bo_ed,character,Raw text numbers or placeholder '--' strings,Rated daily throughput capacity of the pipeline project,Barrels of Oil Equivalent per Day (BOE/d),Known,"2,359 missing or placeholder '--' values",Conditional,Superseded by capacity_boed_numeric in processed dataset.,outputs/results/energy_ownership_cleaning_summary.csv,None.
Global Energy Ownership,ProjectID,project_id,character,"1,685 unique project IDs (e.g. P0653, P2020, P0060)",GEM unique identifier for the physical pipeline project,Unitless (ID),Unitless,0 missing (0.00%),YES,"CRITICAL: ProjectID is NOT a unique row key. 1,351 projects have multiple ownership paths. Do not collapse rows.",outputs/results/energy_pipeline_project_audit.csv; R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),capacity_boed_raw,character,Verbatim raw text strings from CapacityBOEd,Provenance snapshot of original capacity text prior to conversion,BOE/d text,Known,0 missing (retains original text),YES,Audit and provenance tracking.,R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),share_numeric,numeric,"Range: 0.00 to 100.00% (Median: 11.57%, Mean: 33.66%, 3,643 NA)",Numeric conversion of equity ownership share percentage,Percentage (%),Known,"3,643 missing values (30.98%) preserved as NA; NEVER converted to zero",Conditional,Safe for equity weighting where present. Unsafe for complete ownership summation/HHI when missing.,data/processed/energy_ownership_clean.csv; R/07_clean_energy_ownership.R,Basis of missing share values in GEM database.
Global Energy Ownership,(derived),share_missing,logical,"FALSE: 8,117 rows (69.02%), TRUE: 3,643 rows (30.98%)",Boolean flag indicating whether Share is missing (NA),Unitless (Flag),Unitless,0 missing; derived from is.na(share_numeric),YES,Filter flag for complete-case ownership analyses.,R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),capacity_missing_or_placeholder,logical,"FALSE: 9,401 rows (79.94%), TRUE: 2,359 rows (20.06%)","Boolean flag indicating capacity was '--', blank, or non-numeric",Unitless (Flag),Unitless,0 missing,YES,Filter flag to exclude missing/placeholder capacity rows before numeric ops.,R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),capacity_boed_numeric,numeric,"Range: 0 to 5,000,000 BOE/d (Median: 200,000, Mean: 346,036; 2,359 NA)",Numeric conversion of pipeline throughput capacity,Barrels of Oil Equivalent per Day (BOE/d),Known,"2,359 placeholder/missing values converted to NA; NEVER imputed",Conditional,"CRITICAL: Must NEVER be summed across ownership-path rows for the same project. Represents project total, not path-specific slice.",data/processed/energy_ownership_clean.csv; R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),exact_duplicate_flag,logical,"FALSE: 11,698 rows (99.47%), TRUE: 62 rows (0.53%)",Boolean flag indicating row is an exact duplicate across all 13 original columns,Unitless (Flag),Unitless,0 missing,YES,Preserved for provenance; rows retained and flagged.,outputs/results/energy_ownership_cleaning_summary.csv; R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),exact_duplicate_group_size,integer,"1 (11,698 rows), 2 (62 rows across 31 duplicate pairs)","Size of exact duplicate group (1 = unique row, 2 = duplicate pair)",Unitless (Count),Unitless,0 missing,YES,Use for sensitivity analysis with/without duplicate rows.,R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),parent_entity_id_missing,logical,"Constant value: FALSE (11,760 rows = 100%)",Boolean flag indicating missing parent entity ID,Unitless (Flag),Unitless,0 missing,YES,Confirms 0 missing parent IDs.,R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),parent_entity_id_matched,logical,"Constant value: TRUE (11,760 rows = 100%)",Boolean flag confirming parent entity ID exists in 'All Entities' sheet,Unitless (Flag),Unitless,0 missing,YES,Confirms 100% referential integrity with All Entities master register.,R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),imm_owner_entity_id_missing,logical,"Constant value: FALSE (11,760 rows = 100%)",Boolean flag indicating missing immediate owner entity ID,Unitless (Flag),Unitless,0 missing,YES,Confirms 0 missing immediate owner IDs.,R/07_clean_energy_ownership.R,None.
Global Energy Ownership,(derived),imm_owner_entity_id_matched,logical,"Constant value: TRUE (11,760 rows = 100%)",Boolean flag confirming immediate owner ID exists in 'All Entities' sheet,Unitless (Flag),Unitless,0 missing,YES,Confirms 100% referential integrity with All Entities master register.,R/07_clean_energy_ownership.R,None.
